,id,data_type,status,created_at,official,official_updated_at,external_ids,provider,feed_name,note,feed_contact_email,redirects,entity_types,feed_references,locations,source_info.producer_url,source_info.authentication_type,source_info.authentication_info_url,source_info.api_key_parameter_name,source_info.license_url
239,mdb-1439,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1439', 'source': 'mdb'}]",North County Transit District (NCTD),,,,[],['vp'],['mdb-14'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'California', 'municipality': 'San Diego County'}]",https://api.goswift.ly/real-time/nctd/gtfs-rt-vehicle-positions,2,https://goswift.ly/realtime-api-key,authorization,https://www.goswift.ly/api-license
240,mdb-1599,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1599', 'source': 'mdb'}]",Bay Town Trolley,,,,[],['vp'],['mdb-337'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Florida', 'municipality': 'Bay County'}]",https://api.goswift.ly/real-time/bay-town-trolley/gtfs-rt-vehicle-positions,2,https://goswift.ly/realtime-api-key,authorization,https://www.goswift.ly/api-license
242,mdb-1574,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1574', 'source': 'mdb'}]",LA Metro,,,,[],['vp'],['mdb-30'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'California', 'municipality': 'Los Angeles County'}]",https://api.goswift.ly/real-time/lametro/gtfs-rt-vehicle-positions,2,https://goswift.ly/realtime-api-key,authorization,https://www.goswift.ly/api-license
243,mdb-1499,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1499', 'source': 'mdb'}]",Lincoln County Transit,,,,[],['vp'],['mdb-23'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Oregon', 'municipality': 'Lincoln County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Oregon', 'municipality': 'Benton County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Oregon', 'municipality': 'Linn County'}]",https://api.goswift.ly/real-time/lincoln-county/gtfs-rt-vehicle-positions,2,https://goswift.ly/realtime-api-key,authorization,https://www.goswift.ly/api-license
245,mdb-1512,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1512', 'source': 'mdb'}]",Green Mountain Community Network,,,,[],['vp'],['mdb-539'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Vermont', 'municipality': 'Bennington County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Massachusetts', 'municipality': 'Berkshire County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Vermont', 'municipality': 'Windham County'}]",https://api.goswift.ly/real-time/bennington-gmcn/gtfs-rt-vehicle-positions,2,https://goswift.ly/realtime-api-key,authorization,https://www.goswift.ly/api-license
249,mdb-1739,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1739', 'source': 'mdb'}]",Miami Dade Transit,,,,[],['vp'],['mdb-331'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Florida', 'municipality': 'Miami-Dade County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Florida', 'municipality': 'Broward County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Florida', 'municipality': 'Monroe County'}]",https://api.goswift.ly/real-time/miami/gtfs-rt-vehicle-positions/,2,https://goswift.ly/realtime-api-key,authorization,https://www.goswift.ly/api-license
254,mdb-1549,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1549', 'source': 'mdb'}]",Everett Transit,,,,[],['vp'],['mdb-288'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Washington', 'municipality': 'Snohomish County'}]",https://api.pugetsound.onebusaway.org/api/gtfs_realtime/vehicle-positions-for-agency/97.pb,1,https://www.soundtransit.org/help-contacts/business-information/open-transit-data-otd/otd-downloads,key,https://www.soundtransit.org/help-contacts/business-information/open-transit-data-otd/transit-data-terms-use
261,mdb-1508,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1508', 'source': 'mdb'}]",Kern Transit,,,,[],['vp'],['mdb-47'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'California', 'municipality': 'Kern County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'California', 'municipality': 'Los Angeles County'}]",https://api.goswift.ly/real-time/kern-transit/gtfs-rt-vehicle-positions,2,https://goswift.ly/realtime-api-key,authorization,https://www.goswift.ly/api-license
282,mdb-1368,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1368', 'source': 'mdb'}]",Exo Haut-Saint-Laurent,,,,[],['vp'],['mdb-745'],"[{'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Montreal'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Châteauguay'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Montérégie'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Sainte-Martine'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Mercier'}]",https://opendata.exo.quebec/ServiceGTFSR/VehiclePosition.pb?agency=CITHSL,1,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces,token,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces
285,mdb-1653,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1653', 'source': 'mdb'}]",Tahoe Transportation District (TTD),,,,[],['vp'],['mdb-897'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'California', 'municipality': 'El Dorado County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Nevada', 'municipality': 'Douglas County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Nevada', 'municipality': 'Carson City'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Nevada', 'municipality': 'Washoe County'}]",https://api.goswift.ly/real-time/bluego/gtfs-rt-vehicle-positions,2,https://goswift.ly/realtime-api-key,authorization,https://www.goswift.ly/api-license
